image,link,name,price
https://botanys.fr/wp-content/uploads/2021/03/Desktop_H_CBD-805x1024.jpg,https://botanys.fr/produit/huile-de-chanvre-10-ml/,Huile CBD 100% Chanvre,"15,00€"
https://botanys.fr/wp-content/uploads/2021/03/Desktop_H_MCT1-805x1024.jpg,https://botanys.fr/produit/huile-mct-10-ml/,Huile CBD neutre (MCT),"15,00€"
https://botanys.fr/wp-content/uploads/2021/07/Desktop_H_CitronGingembre-805x1024.jpg,https://botanys.fr/produit/citron-gingembre/,Huile CBD Citron Gingembre,"15,00€"
https://botanys.fr/wp-content/uploads/2021/03/Desktop_H_Amandevanille-805x1024.jpg,https://botanys.fr/produit/huile-mct-vanille-10-ml/,Huile CBD Amande Vanille,"15,00€"
https://botanys.fr/wp-content/uploads/2021/07/Desktop_H_CBG-805x1024.jpg,https://botanys.fr/produit/cbg/,Huile CBG,"20,00€"
https://botanys.fr/wp-content/uploads/2022/12/BZ1-Packshoot-805x1024.jpg,https://botanys.fr/produit/bz1-nouveaute/,BZ1 – Nouveauté,"1,90€"
https://botanys.fr/wp-content/uploads/2021/03/Desktop_Cheese-805x1024.jpg,https://botanys.fr/produit/royal-cheese-nouveaute/,Royal Cheese – Nouveauté,"1,90€"
https://botanys.fr/wp-content/uploads/2022/12/White-Widow-Packshoot-1-805x1024.jpg,https://botanys.fr/produit/white-widow-nouveaute/,White Widow – Nouveauté,"2,00€"
https://botanys.fr/wp-content/uploads/2022/12/Bubble-Gum-Packshoot-e1674173652103-799x1024.jpg,https://botanys.fr/produit/bubble-gum-nouveaute/,Bubble Gum – Nouveauté,"2,00€"
https://botanys.fr/wp-content/uploads/2022/12/Sour-Diesel-Packshoot-805x1024.jpg,https://botanys.fr/produit/sour-diesel-nouveaute/,Sour Diesel – Nouveauté,"2,00€"
https://botanys.fr/wp-content/uploads/2022/12/KIWI-Packshoot-805x1024.jpg,https://botanys.fr/produit/kiwi/,Kiwi,"2,10€"
https://botanys.fr/wp-content/uploads/2022/12/Super-Skunk-Packshoot-805x1024.jpg,https://botanys.fr/produit/super-skunk-nouveaute/,Super Skunk – Nouveauté,"2,10€"
https://botanys.fr/wp-content/uploads/2022/12/Pineapple-Packshoot-805x1024.jpg,https://botanys.fr/produit/pineapple-nouveaute/,Pineapple – Nouveauté,"2,10€"
https://botanys.fr/wp-content/uploads/2022/12/Cannatonic-Packshoot-805x1024.jpg,https://botanys.fr/produit/cannatonic-nouveaute/,Cannatonic – Nouveauté,"2,10€"
https://botanys.fr/wp-content/uploads/2022/12/Cannatonic-Lemon-New-1-805x1024.jpg,https://botanys.fr/produit/cannatonic-lemon/,Cannatonic Lemon,"2,80€"
https://botanys.fr/wp-content/uploads/2022/12/Tropical-Punch-Packshoot-805x1024.jpg,https://botanys.fr/produit/tropical-punch-nouveaute/,Tropical Punch – Nouveauté,"3,00€"
https://botanys.fr/wp-content/uploads/2022/12/Purple-Gold-Packshoot-805x1024.jpg,https://botanys.fr/produit/purple-gold-nouveaute/,Purple Gold – Nouveauté,"3,20€"
https://botanys.fr/wp-content/uploads/2022/11/PackShoot-Jack-Frost-805x1024.jpg,https://botanys.fr/produit/jack-frost/,Jack Frost,"4,00€"
https://botanys.fr/wp-content/uploads/2022/11/PackShoot-GSC-805x1024.jpg,https://botanys.fr/produit/girl-scout-cookies/,Girl Scout Cookies,"4,00€"
https://botanys.fr/wp-content/uploads/2021/08/Desktop_Trim-805x1024.jpg,https://botanys.fr/produit/trim-20g/,Mix Trim – Mini bud,"19,00€"
